experimenter,location,study_name,SID,age_group,Order #,1: correct answer,1: child's answer,1 (ambiguous),2: correct answer,2: child's answer,2 (inference),3: correct answer,3: child's answer,3 (ambiguous),4: correct answer,4: child's answer,4 (inference),5: correct answer,5: child's answer,5 (ambiguous),6: correct answer,6: child's answer,6 (inference),7: correct answer,7: child's answer,7 (ambiguous),8: correct answer,8: child's answer,8 (inference),Notes
Janelle Klaas,CDM,INFO_DISAMBIG,2014_5_22_43,3.6,1,left,left,TRUE,left,right,FALSE,right,right,TRUE,left,left,TRUE,right,right,TRUE,right,left,FALSE,left,left,TRUE,right,right,TRUE,
Janelle Klaas,CDM,INFO_DISAMBIG,2014_5_22_44,4.5,1,left,right,FALSE,left,left,TRUE,right,right,TRUE,left,right,FALSE,right,left,FALSE,right,right,TRUE,left,left,TRUE,right,right,TRUE,
Janelle Klaas,CDM,INFO_DISAMBIG,2014_5_22_45,4.3,1,left,left,TRUE,left,left,TRUE,right,left,FALSE,left,left,TRUE,right,left,FALSE,right,left,FALSE,left,left,TRUE,right,right,TRUE,
Janelle Klaas,CDM,INFO_DISAMBIG,2014_5_22_46,4.1,1,left,left,TRUE,left,right,FALSE,right,left,FALSE,left,right,FALSE,right,left,FALSE,right,left,FALSE,left,right,FALSE,right,right,TRUE,
Janelle Klaas,CDM,INFO_DISAMBIG,2014_5_29_47,3.5,1,left,left,TRUE,left,left,TRUE,right,right,TRUE,left,left,TRUE,right,right,TRUE,right,right,TRUE,left,right,FALSE,right,right,TRUE,
Janelle Klaas,CDM,INFO_DISAMBIG,2014_5_29_49,3.5,1,left,left,TRUE,left,right,FALSE,right,right,TRUE,left,left,TRUE,right,left,FALSE,right,right,TRUE,left,left,TRUE,right,left,FALSE,
Janelle Klaas,CDM,INFO_DISAMBIG,2014_5_29_50,4.7,1,left,left,TRUE,left,right,FALSE,right,right,TRUE,left,left,TRUE,right,right,TRUE,right,right,TRUE,left,right,FALSE,right,left,FALSE,
Janelle Klaas,CDM,INFO_DISAMBIG,2014_6_5_53,3.9,1,left,left,TRUE,left,right,FALSE,right,left,FALSE,left,left,TRUE,right,left,FALSE,right,right,TRUE,left,right,FALSE,right,right,TRUE,
Janelle Klaas,CDM,INFO_DISAMBIG,2014_6_5_54,3.4,1,left,left,TRUE,left,left,TRUE,right,right,TRUE,left,left,TRUE,right,right,TRUE,right,right,TRUE,left,left,TRUE,right,right,TRUE,
Janelle Klaas,CDM,INFO_DISAMBIG,2014_6_5_55,3.8,1,left,right,FALSE,left,right,FALSE,right,right,TRUE,left,right,FALSE,right,right,TRUE,right,right,TRUE,left,right,FALSE,right,left,FALSE,
